n-C3H7CHO 298 K (n-butyraldehyde, n-butanal) photolysis cross-sections
	
IUPAC 2005 Recommendation
http://www.iupac-kinetic.ch.cam.ac.uk
	
R. D. Martinez, A. A. Buitrago, N. W. Howell, C. H. Hearn, and J. A. Joens, Atmos. Env. 26A, 785 (1992)	

Photolysis QYs:  IUPAC 2005 Recommendation

J. Tadic, I. Juranic and G. K. Moortgat, J. Photchem. Photobiol. A: Chemisty, 143 169, (2001)

phi1 (n-C3H7 + HCO) = 0.21 from 290 to 380 nm (1 bar, 298K)
phi2 (C2H4 + CH3CHO) = 0.10 from 290 to 380 nm (1 bar, 298K)

Scale Factor: 1.0E-21 cm2

wavelength (nm)	sig (1.0E-21 cm2)

202	0.178
206	0.316
210	0.475
214	0.623
218	0.771
222	0.85
226	1.02
230	1.33
234	2.02
238	3.16
242	4.88
246	7.24
250	10.5
254	14.5
258	19.3
262	25.2
266	30.9
270	38.1
274	43.4
278	50.2
280	51.8
281	52.2
282	53
283	54.5
284	56.5
285	58.1
286	59
287	58.9
288	58.5
289	58
290	57.8
291	58.3
292	59.3
293	60.5
294	61
295	60.3
296	58.7
297	56.9
298	55.6
299	54.6
300	54.2
301	54.3
302	54.4
303	54.3
304	53.2
305	50.8
306	47.9
307	45
308	42.9
309	41.5
310	40.7
311	40
312	39.2
313	38.2
314	36.9
315	34.6
316	31.7
317	28.5
318	25.7
319	23.7
320	22.5
321	21.8
322	20.7
323	19.6
324	18.2
325	16.9
326	15.5
327	13.9
328	12.2
329	10.4
330	8.68
331	7.34
332	6.47
333	6.02
334	5.54
335	4.85
336	4.17
337	3.46
338	2.85
339	2.42
340	2.15
341	1.91
342	1.44
343	0.93
344	0.59
345	0.41
346	0.31
347	0.26
348	0.23
349	0.18
350	0.15
351	0.14
352	0.12
353	0.1
354	0.08
355	0.06
356	0.05
357	0.04
358	0.03
359	0.02
360	0.02
361	0.02
362	0.01
363	0.01
364	0.01
