# Numbering of subgroups is done the way it was done in old UNIFAC/LIFAC code
# (e.g., in PhD thesis of M. Schiller) and NOT exactly according to standard
# UNIFAC of Hansen et al. (1991) (differences are especially between subgroups
# 9 and 70 and of course with the added extensions)

# sub     main    molar
# group   group   mass        ri (?)  qi (?)

  1        1      0.01503400  0.9011  0.8480  # CH3
  2        1      0.01402600  0.6744  0.5400  # CH2
  3        1      0.01301800  0.4469  0.2280  # CH
  4        1      0.01201000  0.2195  0.0000  # C
  5        2      0.02704400  1.3454  1.1760  # CH=CH2
  6        2      0.02600000  1.1167  0.8670  # CH=CH
  7        2      0.02600000  1.1173  0.9880  # CH2=C
  8        2      0.02500000  0.8886  0.6760  # CH=C
 70        2      0.03100000  0.6605  0.4850  # C=C (double bond)
  9        3      0.01301800  0.5313  0.4000  # ACH
 10        3      0.01201000  0.3652  0.1200  # AC
 11        4      0.02704400  1.2663  0.9680  # ACCH3
 12        4      0.02600000  1.0396  0.6600  # ACCH2
 13        4      0.02500000  0.8121  0.3480  # ACCH
 14        5      0.01700800  1.0000  1.2000  # OH
 15        6      0.03200000  1.4311  1.4320  # CH3OH
 16        7      0.01801528  0.9200  1.4000  # H2O
 17        8      0.02900000  0.8952  0.6800  # ACOH
 18        9      0.04300000  1.6724  1.4480  # CH3CO (ketone)
 19        9      0.04200000  1.4457  1.1800  # CH2CO (ketone)
 20       10      0.02900000  0.9980  0.9480  # CHO (aldehyde)
 21       11      0.05900000  1.9031  1.7280  # CH3COO (ester)
 22       11      0.05800000  1.6764  1.4200  # CH2COO (ester)
 23       12      0.04500000  1.2420  1.1880  # HCOO
 24       13      0.03100000  1.1450  1.0880  # CH3O (ether)
 25       13      0.03000000  0.9183  0.7800  # CH2O (ether)
 26       13      0.02900000  0.6908  0.4680  # CHO (ether)
 27       13      0.03000000  0.9183  1.1000  # THF (tetrahydrofuran)
 28       14      0.03105000  1.5959  1.5440  # CH3NH2
 29       14      0.03000000  1.3692  1.2360  # CH2NH2
 30       14      0.02900000  1.1417  0.9240  # CHNH2
 31       15      0.03000000  1.4337  1.2440  # CH3NH
 32       15      0.02900000  1.2070  0.9360  # CH2NH
 33       15      0.02800000  0.9795  0.6240  # CHNH
 34       16      0.02900000  1.1865  0.9400  # CH3N
 35       16      0.02800000  0.9597  0.6320  # CH2N
 36       17      0.02800000  1.0600  0.8160  # ACNH2
 37       18      0.07900000  2.9993  2.1130  # C5H5N
 38       18      0.07800000  2.8332  1.8330  # C5H4N
